Name,Name Link,ChEBI-ID,ChEBI-ID Link,CAS Registry NumberⓇ,CAS Registry NumberⓇ Link,Formula,Mass,ID,PubChem CID,GESTIS ZVG-Nr.,group,Other ingredients from the group,kegg_id,density,Synonym,Used attributes,Found in,solutions list link,media list link,identifiers
(NH4)NO3,https://mediadive.dsmz.de/ingredients/528?p=19,63038,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63038,6484-52-2,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=6484-52-2,H3N.HNO3,80.0434,C528,,,,,,1.725,,['0.1% w/v (1×)'],"['11 solutions', '13 media']",https://mediadive.dsmz.de/solution-finder/%28NH4%29NO3///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/%28NH4%29NO3///,"{""CAS Registry Number\u00ae"": {""text"": ""6484-52-2"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=6484-52-2""}, ""ChEBI"": {""text"": ""63038"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63038""}}"
Difco marine broth,https://mediadive.dsmz.de/ingredients/530?p=19,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex,C530,,,,,,,,"['Difco 2216 (1×)', 'Difco2216 (1×)']","['2 solutions', '2 media']",https://mediadive.dsmz.de/solution-finder/Difco+marine+broth///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Difco+marine+broth///,null
Pancreatic digest of casein,https://mediadive.dsmz.de/ingredients/531?p=19,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,65072-00-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=65072-00-6,complex,complex,C531,,,,,,,,['BD Trypticase Peptone (1×)'],"['6 solutions', '7 media']",https://mediadive.dsmz.de/solution-finder/Pancreatic+digest+of+casein///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Pancreatic+digest+of+casein///,"{""CAS Registry Number\u00ae"": {""text"": ""65072-00-6"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=65072-00-6""}}"
Stearic acid,https://mediadive.dsmz.de/ingredients/534?p=19,28842,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28842,57-11-4,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=57-11-4,C18H36O2,284.5,C534,5281,11760,,,C01530,,"['18:0', 'acide octadecanoique', 'acide stearique', 'C18:0', 'CH3-[CH2]16-COOH', 'n-octadecanoic acid', 'octadecanoic acid', 'Octadecansaeure', 'octadecoic acid', 'Oktadekansaeure', 'Stearinsaeure']",,"['2 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/Stearic+acid///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Stearic+acid///,"{""CAS Registry Number\u00ae"": {""text"": ""57-11-4"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=57-11-4""}, ""PubChem CID"": {""text"": ""5281"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5281""}, ""ChEBI"": {""text"": ""28842"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28842""}, ""KEGG"": {""text"": ""C01530"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C01530""}, ""MetaCyc"": {""text"": ""STEARIC\\_ACID"", ""href"": ""https://metacyc.org/compound?orgid=META&id=STEARIC\\_ACID""}, ""GESTIS ZVG-Nr."": {""text"": ""11760"", ""href"": ""https://gestis.dguv.de/data?name=011760""}}"
Thioctic acid,https://mediadive.dsmz.de/ingredients/535?p=19,30314,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30314,1200-22-2,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=1200-22-2,C8H14O2S2,206.3,C535,864,,,,C16241,,"['(+)-alpha-Lipoic acid', '(R)-(+)-Lipoate', '(R)-(+)-lipoic acid', '(R)-1,2-Dithiolane-3-pentanoic acid', '(R)-1,2-dithiolane-3-valeric acid', '(R)-6,8-thioctic acid', '5-[(3R)-1,2-dithiolan-3-yl]pentanoic acid', 'alpha-Lipoic acid', 'Lipoic acid', 'R-(+)-Lipoic acid', 'R-LA', 'RLA', 'Thioctic acid d-form', 'Thioctic acid, d form']",['Lipoic Acid (2×)'],"['7 solutions', '9 media']",https://mediadive.dsmz.de/solution-finder/Thioctic+acid///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Thioctic+acid///,"{""CAS Registry Number\u00ae"": {""text"": ""1200-22-2"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=1200-22-2""}, ""PubChem CID"": {""text"": ""864"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/864""}, ""ChEBI"": {""text"": ""30314"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30314""}, ""KEGG"": {""text"": ""C16241"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C16241""}, ""MetaCyc"": {""text"": ""LIPOIC-ACID"", ""href"": ""https://metacyc.org/compound?orgid=META&id=LIPOIC-ACID""}}"
"1,4-Naphthoquinone",https://mediadive.dsmz.de/ingredients/536?p=19,27418,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27418,130-15-4,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=130-15-4,C10H6O2,158.15,C536,8530,27450,,,C02617,,"['1,4-dihydro-1,4-diketonaphthalene', '1,4-Naphthalenedione', '1,4-NQ', 'alpha-naphthoquinone', 'naphthalene-1,4-dione', 'naphthoquinone', 'p-naphthoquinone', '[1,4]naphthoquinon']",['dissolved in 0.1 N NaOH (1×)'],"['3 solutions', '5 media']",https://mediadive.dsmz.de/solution-finder/1%2C4-Naphthoquinone///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/1%2C4-Naphthoquinone///,"{""CAS Registry Number\u00ae"": {""text"": ""130-15-4"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=130-15-4""}, ""PubChem CID"": {""text"": ""8530"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/8530""}, ""ChEBI"": {""text"": ""27418"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27418""}, ""KEGG"": {""text"": ""C02617"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C02617""}, ""GESTIS ZVG-Nr."": {""text"": ""27450"", ""href"": ""https://gestis.dguv.de/data?name=027450""}}"
Na-meta silicate,https://mediadive.dsmz.de/ingredients/537?p=19,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,6834-92-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=6834-92-0,H2O3Si.2Na,,C537,,,,,,2.614,['Na-meta-silicate'],,"['2 solutions', '2 media']",https://mediadive.dsmz.de/solution-finder/Na-meta+silicate///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Na-meta+silicate///,"{""CAS Registry Number\u00ae"": {""text"": ""6834-92-0"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=6834-92-0""}}"
5-Aminovaleric acid,https://mediadive.dsmz.de/ingredients/538?p=19,15887,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15887,660-88-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=660-88-8,C5H11NO2,117.15,C538,138,,,,C00431,,"['5-amino-n-valeric acid', '5-Aminopentanoate', '5-Aminopentanoic acid', 'DANVA', 'delta-Amino-n-valeric acid', 'delta-aminovaleric acid']",['w/v) NaHCO3 (flushed with N2 + CO2 (1×)'],"['2 solutions', '2 media']",https://mediadive.dsmz.de/solution-finder/5-Aminovaleric+acid///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/5-Aminovaleric+acid///,"{""CAS Registry Number\u00ae"": {""text"": ""660-88-8"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=660-88-8""}, ""PubChem CID"": {""text"": ""138"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/138""}, ""ChEBI"": {""text"": ""15887"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15887""}, ""KEGG"": {""text"": ""C00431"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00431""}, ""MetaCyc"": {""text"": ""5-AMINOPENTANOATE"", ""href"": ""https://metacyc.org/compound?orgid=META&id=5-AMINOPENTANOATE""}}"
Pyruvic acid,https://mediadive.dsmz.de/ingredients/540?p=19,32816,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32816,127-17-3,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=127-17-3,C3H4O3,88.06,C540,1060,492886,,,C00022,,"['2-ketopropionic acid', '2-Oxopropanoic acid', '2-Oxopropansaeure', '2-Oxopropionsaeure', 'acetylformic acid', 'acide pyruvique', 'alpha-ketopropionic acid', 'alpha-Oxopropionsaeure', 'Brenztraubensaeure', 'BTS', 'CH3COCOOH', 'Pyroracemic acid']",,"['2 solutions', '2 media']",https://mediadive.dsmz.de/solution-finder/Pyruvic+acid///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Pyruvic+acid///,"{""CAS Registry Number\u00ae"": {""text"": ""127-17-3"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=127-17-3""}, ""PubChem CID"": {""text"": ""1060"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/1060""}, ""ChEBI"": {""text"": ""32816"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32816""}, ""KEGG"": {""text"": ""C00022"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00022""}, ""MetaCyc"": {""text"": ""PYRUVATE"", ""href"": ""https://metacyc.org/compound?orgid=META&id=PYRUVATE""}, ""GESTIS ZVG-Nr."": {""text"": ""492886"", ""href"": ""https://gestis.dguv.de/data?name=492886""}}"
Co(NO3)2x 6 H2O,https://mediadive.dsmz.de/ingredients/541?p=19,86214,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86214,10026-22-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10026-22-9,CoH12N2O12,291.035,C541,,5340,Co(NO3)2,['Co(NO3)2'],,,"['Co(NO3)2.6H2O', 'Cobalt nitrate hexahydrate', 'Cobalt(2+) nitrate hexahydrate', 'cobalt(2+) nitrate--water (1/6)', 'Cobalt(II) nitrate hexahydrate', 'Cobaltous nitrate hexahydrate']","['0.05 g/l stock solution (3×)', '0.5 g/100 ml stock solution (2×)', '0.5 g/L stock sol. (1×)', '0.5g/100ml Stock Sol. (1×)', '5 g/l stock solution (1×)', '5.0 g/l stock solution (1×)']","['37 solutions', '90 media']",https://mediadive.dsmz.de/solution-finder/Co%28NO3%292+x+6+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Co%28NO3%292+x+6+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""10026-22-9"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=10026-22-9""}, ""ChEBI"": {""text"": ""86214"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86214""}, ""GESTIS ZVG-Nr."": {""text"": ""5340"", ""href"": ""https://gestis.dguv.de/data?name=005340""}}"
Naphthalene sulfonic acid,https://mediadive.dsmz.de/ingredients/542?p=19,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,120-18-3,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=120-18-3,C10H8O3S,208.23,C542,,,,,,,,,"['1 solutions', '4 media']",https://mediadive.dsmz.de/solution-finder/Naphthalene+sulfonic+acid///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Naphthalene+sulfonic+acid///,"{""CAS Registry Number\u00ae"": {""text"": ""120-18-3"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=120-18-3""}}"
MnSO4x 7 H2O,https://mediadive.dsmz.de/ingredients/543?p=19,86360,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86360,7785-87-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7785-87-7,MnO4S,151.001,C543,,2820,MnSO4,"['MnSO4 x H2O', 'MnSO4 x 6 H2O', 'MnSO4 x 5 H2O', 'MnSO4 x 2 H2O', 'MnSO4 x 4 H2O', 'MnSO4', 'MnSO4 x 1 H2O', 'Manganese Sulfate']",,,"['Manganese monosulfate', 'Manganese sulfate', 'Manganese sulfate anhydrous', 'Manganese sulphate', 'manganese(2+) sulfate', 'manganese(2+) sulphate', 'manganese(II) sulphate', 'Manganous sulfate', 'MnSO4']",,"['4 solutions', '4 media']",https://mediadive.dsmz.de/solution-finder/MnSO4+x+7+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/MnSO4+x+7+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""7785-87-7"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=7785-87-7""}, ""ChEBI"": {""text"": ""86360"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86360""}, ""MetaCyc"": {""text"": ""CPD0-1608"", ""href"": ""https://metacyc.org/compound?orgid=META&id=CPD0-1608""}, ""GESTIS ZVG-Nr."": {""text"": ""2820"", ""href"": ""https://gestis.dguv.de/data?name=002820""}}"
Marine Broth,https://mediadive.dsmz.de/ingredients/545?p=20,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex,C545,,,,,,,,"['Difco (1×)', 'BD Difco (1×)', 'i.e. Difco (1×)', 'Becton Dickinson (1×)']","['4 solutions', '4 media']",https://mediadive.dsmz.de/solution-finder/Marine+Broth///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Marine+Broth///,null
Inosin,https://mediadive.dsmz.de/ingredients/546?p=20,17596,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17596,58-63-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=58-63-9,C10H12N4O5,268.226,C546,,,,,C00294,,"['(2R,3S,4R,5R)-2-(hydroxymethyl)-5-(6-hydroxy-9H-purin-9-yl)tetrahydrofuran-3,4-diol', '9-(beta-D-ribofuranosyl)-9H-purin-6-ol', '9-beta-D-ribofuranosyl-9H-purin-6-ol', '9-beta-D-ribofuranosylhypoxanthine', 'hypoxanthine D-riboside', 'hypoxanthosine', 'i', 'inosina', 'Inosine', 'inosinum']",['5 mM (1×)'],"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/Inosin///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Inosin///,"{""CAS Registry Number\u00ae"": {""text"": ""58-63-9"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=58-63-9""}, ""ChEBI"": {""text"": ""17596"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17596""}, ""KEGG"": {""text"": ""C00294"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00294""}, ""MetaCyc"": {""text"": ""INOSINE"", ""href"": ""https://metacyc.org/compound?orgid=META&id=INOSINE""}}"
Na2WO4,https://mediadive.dsmz.de/ingredients/550?p=20,63940,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63940,13472-45-2,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=13472-45-2,Na2O4W,293.82,C550,26052,126583,Na2WO4,['Na2WO4 x 2 H2O'],,,"['Disodium tetraoxotungstate', 'Disodium tungstate', 'sodium tetraoxotungstate(VI)', 'Sodium tungstate', 'Sodium tungstate(VI)', 'Sodium tungsten oxide', 'Sodium wolframate', 'Tungstic acid, disodium salt']",,"['9 solutions', '10 media']",https://mediadive.dsmz.de/solution-finder/Na2WO4///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Na2WO4///,"{""CAS Registry Number\u00ae"": {""text"": ""13472-45-2"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=13472-45-2""}, ""PubChem CID"": {""text"": ""26052"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/26052""}, ""ChEBI"": {""text"": ""63940"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63940""}, ""GESTIS ZVG-Nr."": {""text"": ""126583"", ""href"": ""https://gestis.dguv.de/data?name=126583""}}"
Na2S2O3,https://mediadive.dsmz.de/ingredients/552?p=20,59168,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:59168,10102-17-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10102-17-7,H2O3S2.5H2O.2Na,428.515,C552,24477,2480,Na2S2O3,"['Na2S2O3 x 5 H2O', 'Sodium thiosulfate pentahydrate']",,,"['2,5,8,11,14,17,20,23,26-nonaoxaoctacosan-28-ol', 'Na2S203', 'O-methyl-nonaethyleneglycol', 'Sodium thiosulfate']","['1 M (6×)', '10% (2×)', '5.0 g in 100 ml H2O (1×)', '2 M (1×)', '300 mM (1×)']","['19 solutions', '21 media']",https://mediadive.dsmz.de/solution-finder/Na2S2O3///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Na2S2O3///,"{""CAS Registry Number\u00ae"": {""text"": ""10102-17-7"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=10102-17-7""}, ""PubChem CID"": {""text"": ""24477"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/24477""}, ""ChEBI"": {""text"": ""59168"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:59168""}, ""GESTIS ZVG-Nr."": {""text"": ""2480"", ""href"": ""https://gestis.dguv.de/data?name=002480""}}"
FeCl2x 6 H2O,https://mediadive.dsmz.de/ingredients/555?p=20,30812,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30812,7758-94-3,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7758-94-3,Cl2Fe,126.75,C555,,1490,FeCl2,"['FeCl2 x 4 H2O', 'FeCl2', 'FeCl2 x 7 H2O']",,,"['FeCl2', 'ferrous chloride', 'iron dichloride', 'iron(2+) chloride', 'iron(II) chloride', '[FeCl2]']",,"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/FeCl2+x+6+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/FeCl2+x+6+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""7758-94-3"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=7758-94-3""}, ""ChEBI"": {""text"": ""30812"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30812""}, ""GESTIS ZVG-Nr."": {""text"": ""1490"", ""href"": ""https://gestis.dguv.de/data?name=001490""}}"
Myo-inositol,https://mediadive.dsmz.de/ingredients/557?p=20,17268,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17268,87-89-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=87-89-8,C6H12O6,180.16,C557,892,,Inositol,['Inositol'],C00137,,"['(1r,2R,3S,4s,5R,6S)-cyclohexane-1,2,3,4,5,6-hexol', '1,2,3,4,5,6-HEXAHYDROXY-CYCLOHEXANE', '1,2,3,5/4,6-cyclohexanehexol', '1D-myo-Inositol', '1L-myo-Inositol', 'Bios I', 'cis-1,2,3,5-trans-4,6-cyclohexanehexol', 'Cyclohexitol', 'D-myo-Inositol', 'Dambose', 'i-inositol', 'inosite', 'Inositol', 'Ins', 'L-myo-Inositol', 'Meat sugar', 'meso-Inositol', 'Myoinositol']",['0.01% w/v (1×)'],"['6 solutions', '10 media']",https://mediadive.dsmz.de/solution-finder/Myo-inositol///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Myo-inositol///,"{""CAS Registry Number\u00ae"": {""text"": ""87-89-8"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=87-89-8""}, ""PubChem CID"": {""text"": ""892"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/892""}, ""ChEBI"": {""text"": ""17268"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17268""}, ""KEGG"": {""text"": ""C00137"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00137""}, ""MetaCyc"": {""text"": ""MYO-INOSITOL"", ""href"": ""https://metacyc.org/compound?orgid=META&id=MYO-INOSITOL""}}"
Niacinamide,https://mediadive.dsmz.de/ingredients/558?p=20,17154,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17154,98-92-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=98-92-0,C6H6N2O,122.125,C558,,40300,Nicotine amide,"['Nicotine amide', 'Nicotinamide', 'Nicotinic acid amide']",C00153,,"['3-pyridinecarboxamide', 'beta-pyridinecarboxamide', 'niacin', 'Nicotinamid', 'Nicotinamide', 'Nicotinic acid amide', 'Nicotinsaeureamid', 'Nicotinsaureamid', 'Nikotinamid', 'Nikotinsaeureamid', 'pyridine-3-carboxamide', 'vitamin B3', 'Vitamin PP']",['0.01% w/v (1×)'],"['2 solutions', '2 media']",https://mediadive.dsmz.de/solution-finder/Niacinamide///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Niacinamide///,"{""CAS Registry Number\u00ae"": {""text"": ""98-92-0"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=98-92-0""}, ""ChEBI"": {""text"": ""17154"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17154""}, ""KEGG"": {""text"": ""C00153"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00153""}, ""MetaCyc"": {""text"": ""NIACINAMIDE"", ""href"": ""https://metacyc.org/compound?orgid=META&id=NIACINAMIDE""}, ""GESTIS ZVG-Nr."": {""text"": ""40300"", ""href"": ""https://gestis.dguv.de/data?name=040300""}}"
Pennassay Broth,https://mediadive.dsmz.de/ingredients/559?p=20,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex,C559,,,,,,,,,"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/Pennassay+Broth///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Pennassay+Broth///,null
Thymine,https://mediadive.dsmz.de/ingredients/560?p=20,17821,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17821,65-71-4,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=65-71-4,C5H6N2O2,126.113,C560,,,,,C00178,,"['2,4-dihydroxy-5-methylpyrimidine', '5-methyl-2,4(1H,3H)-pyrimidinedione', '5-methylpyrimidine-2,4(1H,3H)-dione', '5-methyluracil', 'T', 'Thy', 'Thymin']",['0.012 g/100 ml stock solution (1×)'],"['6 solutions', '7 media']",https://mediadive.dsmz.de/solution-finder/Thymine///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Thymine///,"{""CAS Registry Number\u00ae"": {""text"": ""65-71-4"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=65-71-4""}, ""ChEBI"": {""text"": ""17821"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17821""}, ""KEGG"": {""text"": ""C00178"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00178""}}"
Czapek Dox agar,https://mediadive.dsmz.de/ingredients/565?p=20,2509,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:2509,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex,C565,,,Agar,"['Agar', 'Inorganic salts-starch agar', 'Yeast extract-malt extract agar', 'Bacto Middlebrook 7H10 agar', 'Corn meal agar', 'Fastidious Anaerobe Agar', 'Legionella agar enrichment', 'BCYE agar', 'Marine agar 2216', 'R agar', 'Oatmeal agar', 'Malt extract agar', 'Middlebrook 7H10 agar', 'Glycerol-asparagine agar', 'BL Agar', 'Mueller Hinton II agar', 'GAM agar', 'R2A agar', 'Brewer anaerobic agar', 'Brucella agar', 'Columbia blood agar base']",,,,['Merck (1×)'],"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/Czapek+Dox+agar///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Czapek+Dox+agar///,"{""ChEBI"": {""text"": ""2509"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:2509""}}"
Tryptophan,https://mediadive.dsmz.de/ingredients/566?p=20,27897,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27897,54-12-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=54-12-6,C11H12N2O2,204.225,C566,,100457,DL-Tryptophan,['DL-Tryptophan'],C00806,,"['2-amino-3-(1H-indol-3-yl)propanoic acid', 'alpha-Amino-beta-(3-indolyl)-propionic acid', 'alpha-amino-beta-3-indolepropionic acid', 'beta-3-indolylalanine', 'Htrp', 'triptofano', 'Trp', 'tryptophane', 'W']",['filter-sterilized (1×)'],"['3 solutions', '5 media']",https://mediadive.dsmz.de/solution-finder/Tryptophan///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Tryptophan///,"{""CAS Registry Number\u00ae"": {""text"": ""54-12-6"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=54-12-6""}, ""ChEBI"": {""text"": ""27897"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27897""}, ""KEGG"": {""text"": ""C00806"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00806""}, ""GESTIS ZVG-Nr."": {""text"": ""100457"", ""href"": ""https://gestis.dguv.de/data?name=100457""}}"
